id,date,duration,quality,consent,fomo_counterfactuals_1,fomo_counterfactuals_2,fomo_counterfactuals_3,fomo_counterfactuals_4,fomo_socialcomparison_1,fomo_socialcomparison_2,fomo_socialcomparison_3,fomo_socialcomparison_4,fomo_missedopportunities_1,fomo_missedopportunities_2,fomo_missedopportunities_3,fomo_missedopportunities_4,fomo_negativeaffect_1,fomo_negativeaffect_2,fomo_negativeaffect_3,fomo_negativeaffect_4,gender,age,sexuality,race,ethnicity,education,income
1785673935,8/12/20 21:14,1691,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,Male,29,Heterosexual or straight,-99,Hispanic,-99,"$10,000 to $49,999"
1753042562,8/14/20 8:14,1564,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,4,4,4,5,4,4,5,5,5,3,3,4,4,4,Male,24,Heterosexual or straight,White or Caucasian,Not Hispanic,Associate degree,"$50,000 to $99,999"
1503523894,8/12/20 16:35,865,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,2,Male,41,Heterosexual or straight,White or Caucasian,Not Hispanic,Associate degree,"Less than $10,000"
1770612737,8/12/20 21:59,1096,I will provide my best answers,"Yes, I would like to participate in this research study",2,1,2,2,2,3,2,1,1,2,1,2,2,2,5,3,Female,40,Heterosexual or straight,White or Caucasian,Not Hispanic,Associate degree,"$10,000 to $49,999"
1651540924,8/14/20 9:27,353,I will provide my best answers,"Yes, I would like to participate in this research study",3,5,3,4,3,3,3,3,3,4,3,3,4,5,5,3,Female,32,Heterosexual or straight,Black or African American,Not Hispanic,Associate degree,"Less than $10,000"
1597011524,8/14/20 8:15,567,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,2,3,3,4,3,4,2,2,2,4,2,2,2,2,Female,31,Heterosexual or straight,White or Caucasian,Not Hispanic,Associate degree,"Less than $10,000"
1519518226,8/14/20 10:46,1693,I will provide my best answers,"Yes, I would like to participate in this research study",3,4,4,5,2,2,3,3,3,1,3,2,5,4,4,4,Female,29,Homosexual,"Hispanic, Spanish, or Latino",Hispanic,Associate degree,"$100,000 to $149,999"
1530507928,8/14/20 8:06,939,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,2,4,3,3,4,3,3,3,4,3,3,3,3,2,Male,47,Heterosexual or straight,Black or African American,Hispanic,Associate degree,"$10,000 to $49,999"
1774663269,8/12/20 21:21,1498,I will provide my best answers,"Yes, I would like to participate in this research study",1,3,1,4,1,1,1,2,2,2,2,3,1,3,1,2,Female,50,Heterosexual or straight,"Hispanic, Spanish, or Latino",Hispanic,Associate degree,"Less than $10,000"
1547801567,8/14/20 9:20,677,I will provide my best answers,"Yes, I would like to participate in this research study",3,5,3,4,5,2,5,1,3,3,2,3,2,4,3,3,Female,28,Heterosexual or straight,White or Caucasian,Hispanic,Associate degree,"$50,000 to $99,999"
1761260661,8/14/20 11:13,602,I will provide my best answers,"Yes, I would like to participate in this research study",4,5,5,4,4,4,4,1,4,4,5,4,4,5,5,5,Male,43,Homosexual,White or Caucasian,Not Hispanic,Bachelor's degree,"$10,000 to $49,999"
1502104374,8/14/20 8:03,573,I will provide my best answers,"Yes, I would like to participate in this research study",3,2,2,3,2,2,2,2,3,3,3,3,2,3,3,2,Female,36,Heterosexual or straight,Mixed,Not Hispanic,Bachelor's degree,"$50,000 to $99,999"
1450257473,8/14/20 8:33,274,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,4,4,3,4,4,3,4,3,4,2,4,2,3,Female,30,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$50,000 to $99,999"
1741095390,8/14/20 9:20,1126,I will provide my best answers,"Yes, I would like to participate in this research study",3,2,2,4,2,2,1,4,2,2,2,2,2,2,1,1,Male,23,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$50,000 to $99,999"
1521020193,8/14/20 8:07,1140,I will provide my best answers,"Yes, I would like to participate in this research study",4,3,2,4,4,2,2,2,3,4,1,5,2,4,2,2,Female,50,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$10,000 to $49,999"
1675717735,8/12/20 21:41,1046,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,4,2,3,2,3,3,2,2,3,3,2,1,3,2,Male,27,Heterosexual or straight,Asian,Not Hispanic,Bachelor's degree,"$50,000 to $99,999"
1501888018,8/14/20 11:21,4957,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,Female,30,Homosexual,Asian,Not Hispanic,Bachelor's degree,"$50,000 to $99,999"
1505635811,8/12/20 17:20,297,I will provide my best answers,"Yes, I would like to participate in this research study",1,2,1,2,2,2,1,3,2,2,2,1,1,3,1,1,Male,41,Heterosexual or straight,Asian,Not Hispanic,Bachelor's degree,"$50,000 to $99,999"
1501769195,8/14/20 10:21,1730,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,1,3,2,1,1,1,2,3,1,3,2,3,2,2,Male,50,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$150,000 or more"
1502958819,8/14/20 8:45,646,I will provide my best answers,"Yes, I would like to participate in this research study",3,4,3,3,3,3,3,3,3,3,3,4,2,3,3,4,Male,40,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$150,000 or more"
1502975120,8/14/20 8:20,620,I will provide my best answers,"Yes, I would like to participate in this research study",4,4,3,2,4,3,4,4,3,4,4,4,4,5,3,3,Male,37,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$10,000 to $49,999"
1504778091,8/12/20 17:06,558,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Male,42,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$100,000 to $149,999"
1502451975,8/14/20 11:26,1245,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,2,2,2,3,3,2,3,3,3,3,2,3,3,3,Male,46,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$50,000 to $99,999"
1504905432,8/14/20 9:29,826,I will provide my best answers,"Yes, I would like to participate in this research study",3,5,5,5,4,5,5,5,5,5,5,5,5,3,3,5,Female,43,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$10,000 to $49,999"
1504436400,8/14/20 10:05,401,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,Female,45,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$50,000 to $99,999"
1461151934,8/14/20 9:06,1016,I will provide my best answers,"Yes, I would like to participate in this research study",3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,Male,44,Heterosexual or straight,White or Caucasian,Not Hispanic,Bachelor's degree,"$10,000 to $49,999"
1784773537,8/14/20 11:32,693,I will provide my best answers,"Yes, I would like to participate in this research study",3,2,3,4,3,2,4,3,3,3,3,4,2,4,2,2,Female,21,Heterosexual or straight,"Hispanic, Spanish, or Latino",Hispanic,Bachelor's degree,"$10,000 to $49,999"
1612651814,8/12/20 19:52,419,I will provide my best answers,"Yes, I would like to participate in this research study",4,1,5,3,5,4,3,3,4,3,4,5,3,5,3,3,Female,33,Bisexual,Asian,Hispanic,Bachelor's degree,"Less than $10,000"
1624654404,8/14/20 9:14,521,I will provide my best answers,"Yes, I would like to participate in this research study",4,4,4,3,3,4,5,3,3,3,5,4,3,3,4,5,Female,36,Heterosexual or straight,"Hispanic, Spanish, or Latino",Hispanic,Bachelor's degree,"$150,000 or more"
1733035247,8/14/20 10:17,378,I will provide my best answers,"Yes, I would like to participate in this research study",4,4,5,5,5,4,5,5,5,5,4,4,4,3,5,4,Female,25,Heterosexual or straight,White or Caucasian,Hispanic,Bachelor's degree,"$50,000 to $99,999"
1757583352,8/14/20 8:16,822,I will provide my best answers,"Yes, I would like to participate in this research study",4,3,3,2,4,5,4,4,4,2,3,4,3,4,2,2,Male,33,Heterosexual or straight,White or Caucasian,Hispanic,Bachelor's degree,"$50,000 to $99,999"
1454596143,8/14/20 7:56,386,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,Male,26,Heterosexual or straight,White or Caucasian,Hispanic,Bachelor's degree,"$50,000 to $99,999"
1786439963,8/14/20 9:14,530,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,5,5,5,4,4,5,5,4,5,4,4,5,4,5,Female,29,Heterosexual or straight,"Hispanic, Spanish, or Latino",Hispanic,Bachelor's degree,"$50,000 to $99,999"
1502435276,8/12/20 18:59,7296,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,3,3,2,1,2,2,3,3,2,3,2,3,2,2,Female,49,Heterosexual or straight,Asian,Not Hispanic,Doctoral degree,"$50,000 to $99,999"
1609063948,8/14/20 11:39,1597,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,2,3,2,3,3,2,1,2,1,3,2,3,4,4,Female,33,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$10,000 to $49,999"
1679757902,8/14/20 11:19,573,I will provide my best answers,"Yes, I would like to participate in this research study",5,3,2,2,2,2,2,4,1,4,4,4,1,1,3,3,Male,50,Bisexual,White or Caucasian,Not Hispanic,High school graduate,"$10,000 to $49,999"
1511579469,8/14/20 10:23,820,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,5,4,1,1,1,1,2,1,1,2,1,4,2,1,Male,50,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$10,000 to $49,999"
1502245018,8/14/20 11:37,1105,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,3,2,3,3,2,2,3,3,1,3,3,3,2,2,Female,44,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$10,000 to $49,999"
1519806096,8/14/20 7:47,566,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Male,47,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"Less than $10,000"
1502468791,8/14/20 9:21,1184,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,Female,34,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$10,000 to $49,999"
1603212686,8/14/20 9:29,284,I will provide my best answers,"Yes, I would like to participate in this research study",3,1,2,3,2,3,4,4,3,4,3,4,5,4,4,4,Female,24,Heterosexual or straight,Mixed,Not Hispanic,High school graduate,"$10,000 to $49,999"
1676960134,8/14/20 11:18,1341,I will provide my best answers,"Yes, I would like to participate in this research study",1,2,2,2,1,3,3,1,2,1,3,5,3,3,1,2,Female,50,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"Less than $10,000"
1504423902,8/14/20 7:50,720,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,3,3,2,3,2,2,3,3,3,4,3,3,2,2,Male,43,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$100,000 to $149,999"
1619789571,8/14/20 8:59,509,I will provide my best answers,"Yes, I would like to participate in this research study",4,4,3,4,4,3,1,4,3,4,1,3,2,1,5,4,Female,41,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$150,000 or more"
1396092243,8/12/20 14:41,795,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,2,1,2,3,3,3,2,3,1,3,1,4,2,1,Female,25,Heterosexual or straight,American Indian or Alaska Native,Not Hispanic,High school graduate,"$10,000 to $49,999"
1533479624,8/14/20 9:27,373,I will provide my best answers,"Yes, I would like to participate in this research study",1,4,1,4,4,3,3,3,2,3,3,2,3,2,2,2,Female,25,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$50,000 to $99,999"
1683269347,8/14/20 8:16,630,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,2,4,2,2,2,3,2,5,3,4,1,4,1,1,Male,34,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$10,000 to $49,999"
1328043785,8/14/20 8:28,535,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,3,4,3,4,4,2,4,2,1,4,2,3,4,3,Female,37,Heterosexual or straight,White or Caucasian,Not Hispanic,High school graduate,"$50,000 to $99,999"
1626044616,8/14/20 8:44,549,I will provide my best answers,"Yes, I would like to participate in this research study",3,5,3,4,3,5,5,3,3,5,5,3,5,5,3,5,Female,34,Heterosexual or straight,White or Caucasian,Hispanic,High school graduate,"Less than $10,000"
1383623531,8/14/20 8:50,2413,I will provide my best answers,"Yes, I would like to participate in this research study",5,4,5,5,5,5,2,4,5,5,1,5,1,5,5,4,Female,42,Heterosexual or straight,White or Caucasian,Not Hispanic,Less than high school degree,"Less than $10,000"
1503440212,8/14/20 9:59,511,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,2,3,3,2,2,2,3,3,1,3,2,3,3,3,Female,38,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$150,000 or more"
1502493876,8/14/20 8:18,1221,I will provide my best answers,"Yes, I would like to participate in this research study",3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,2,Male,45,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$50,000 to $99,999"
1132179283,8/14/20 10:17,490,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,2,2,4,3,2,4,3,2,3,3,2,2,2,2,Male,44,Heterosexual or straight,Asian,Not Hispanic,Master's degree,"$50,000 to $99,999"
1502249443,8/14/20 7:53,600,I will provide my best answers,"Yes, I would like to participate in this research study",2,4,3,2,3,3,1,2,3,1,2,3,3,3,3,3,Male,31,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$50,000 to $99,999"
1767930154,8/12/20 21:41,441,I will provide my best answers,"Yes, I would like to participate in this research study",4,3,3,4,3,3,5,4,5,5,4,4,4,4,5,3,Male,34,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1786515573,8/14/20 10:39,511,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,4,4,5,4,5,5,5,5,4,4,5,5,4,5,Male,34,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$150,000 or more"
1371596213,8/14/20 9:33,703,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,4,3,4,4,4,4,3,3,3,3,4,3,3,Male,34,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1502414659,8/14/20 8:04,594,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,3,3,3,3,3,4,2,3,3,3,2,3,Female,42,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1699336900,8/14/20 11:08,328,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,Male,43,Heterosexual or straight,Black or African American,Not Hispanic,Master's degree,"$50,000 to $99,999"
1504441422,8/12/20 14:45,350,I will provide my best answers,"Yes, I would like to participate in this research study",5,4,5,4,4,5,1,3,4,3,3,3,3,3,4,3,Female,33,Heterosexual or straight,Asian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1786489197,8/14/20 8:47,589,I will provide my best answers,"Yes, I would like to participate in this research study",3,5,4,5,5,4,4,3,4,4,4,4,5,5,5,4,Male,29,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1504138204,8/14/20 7:34,455,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,Male,46,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$150,000 or more"
1503152875,8/12/20 14:55,1648,I will provide my best answers,"Yes, I would like to participate in this research study",4,3,2,3,2,2,2,3,4,3,1,3,1,4,1,2,Female,29,Heterosexual or straight,Black or African American,Not Hispanic,Master's degree,"$50,000 to $99,999"
1502097317,8/14/20 8:19,269,I will provide my best answers,"Yes, I would like to participate in this research study",4,4,3,4,3,1,2,3,5,1,3,3,4,2,3,4,Female,28,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$50,000 to $99,999"
1786477814,8/14/20 8:19,532,I will provide my best answers,"Yes, I would like to participate in this research study",5,3,1,2,2,3,1,2,3,2,2,3,1,2,1,1,Male,40,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1504846390,8/12/20 18:41,944,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,1,3,2,2,1,1,2,2,1,2,1,3,2,2,Female,37,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$150,000 or more"
1505877569,8/14/20 7:58,226,I will provide my best answers,"Yes, I would like to participate in this research study",3,2,3,2,3,3,2,3,3,2,2,2,2,4,3,2,Male,35,Bisexual,White or Caucasian,Not Hispanic,Master's degree,"$10,000 to $49,999"
1699968651,8/14/20 8:19,398,I will provide my best answers,"Yes, I would like to participate in this research study",5,4,4,3,4,5,4,4,5,5,4,5,5,4,5,5,Male,37,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1786458759,8/14/20 11:37,2276,I will provide my best answers,"Yes, I would like to participate in this research study",4,4,4,4,4,5,3,4,3,4,3,4,4,4,5,4,Male,32,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$50,000 to $99,999"
1751111894,8/14/20 8:57,1828,I will provide my best answers,"Yes, I would like to participate in this research study",5,3,4,5,4,3,4,5,4,3,3,5,5,4,4,5,Male,49,Heterosexual or straight,White or Caucasian,Not Hispanic,Master's degree,"$100,000 to $149,999"
1751197404,8/12/20 15:51,844,I will provide my best answers,"Yes, I would like to participate in this research study",3,4,3,3,3,3,2,3,4,4,2,4,3,3,2,3,Male,34,Heterosexual or straight,White or Caucasian,Hispanic,Master's degree,"$100,000 to $149,999"
1759925221,8/14/20 9:21,570,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,4,4,5,5,5,4,5,5,4,4,5,4,4,5,Male,41,Heterosexual or straight,White or Caucasian,Hispanic,Master's degree,"$100,000 to $149,999"
1764548023,8/12/20 14:33,323,I will provide my best answers,"Yes, I would like to participate in this research study",5,5,3,3,5,4,3,2,3,5,3,5,5,3,3,2,Male,35,Heterosexual or straight,Asian,Not Hispanic,Professional degree,"$150,000 or more"
1503520455,8/14/20 9:04,805,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Prefer not to say,35,Prefer not to say,White or Caucasian,Not Hispanic,Professional degree,"$100,000 to $149,999"
1505227134,8/12/20 15:44,442,I will provide my best answers,"Yes, I would like to participate in this research study",5,2,3,4,3,4,4,2,5,3,5,5,3,4,4,4,Prefer not to say,21,Prefer not to say,-99,Not Hispanic,Professional degree,"$150,000 or more"
1659012358,8/14/20 10:35,1047,I will provide my best answers,"Yes, I would like to participate in this research study",1,1,1,3,2,1,1,1,2,2,1,2,2,1,1,1,Male,43,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$10,000 to $49,999"
1626311135,8/14/20 10:30,513,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,1,2,2,3,3,1,4,3,1,4,2,3,1,2,Male,25,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$100,000 to $149,999"
1763403498,8/12/20 16:38,408,I will provide my best answers,"Yes, I would like to participate in this research study",4,3,3,5,4,4,5,4,4,3,4,3,3,4,4,4,Female,21,Heterosexual or straight,Asian,Not Hispanic,Some college but no degree,"$10,000 to $49,999"
1329369792,8/14/20 8:00,708,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,3,2,3,2,2,2,3,3,1,3,2,3,3,3,Female,36,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$10,000 to $49,999"
1504506739,8/12/20 20:59,758,I will provide my best answers,"Yes, I would like to participate in this research study",2,2,3,3,3,3,2,3,2,2,2,3,2,2,3,2,Male,48,Homosexual,White or Caucasian,Not Hispanic,Some college but no degree,"$100,000 to $149,999"
1512944813,8/14/20 10:25,289,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,4,1,2,3,3,2,2,5,3,3,3,4,Female,23,Heterosexual or straight,Black or African American,Not Hispanic,Some college but no degree,"Less than $10,000"
1504074839,8/12/20 18:21,7212,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,4,3,5,5,3,1,3,2,3,3,5,3,4,4,Female,34,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$100,000 to $149,999"
1504492041,8/12/20 17:27,669,I will provide my best answers,"Yes, I would like to participate in this research study",2,3,3,3,3,2,3,3,3,2,2,3,2,3,2,2,Female,42,Heterosexual or straight,White or Caucasian,Not Hispanic,Some college but no degree,"$50,000 to $99,999"
1502036986,8/14/20 8:46,347,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,Female,35,Heterosexual or straight,American Indian or Alaska Native,Hispanic,Some college but no degree,"$10,000 to $49,999"
1786497046,8/14/20 8:50,253,I will provide my best answers,"Yes, I would like to participate in this research study",3,2,3,5,3,2,1,3,3,2,4,3,5,2,3,2,Male,39,Heterosexual or straight,White or Caucasian,Hispanic,Some college but no degree,"$10,000 to $49,999"
1505994214,8/14/20 11:25,322,I will provide my best answers,"Yes, I would like to participate in this research study",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Male,38,Heterosexual or straight,Black or African American,Hispanic,Some college but no degree,"$50,000 to $99,999"